Id;TasaInteres; saldo_sol ;Edad;EstadoCivil;REGION;CrossSell;ratio.ant;Fuga
1;4,16;1658,9;26;Div.Sol.Viu;NORTE.SUR;1;1;0
2;4,88;4691,78;60;Div.Sol.Viu;LIMA_CALLAO;1;0,13;0
3;4,88;743,33;27;Div.Sol.Viu;NORTE.SUR;3;0,19;0
5;4,16;5897,82;34;Cas.Conv;LIMA_CALLAO;1;0,32;0
6;4,16;11113,87;46;Div.Sol.Viu;NORTE.SUR;2;0,67;0
7;4,16;3880,63;48;Cas.Conv;LIMA_CALLAO;1;0,37;0
8;4,16;48512,05;51;Div.Sol.Viu;LIMA_CALLAO;5;0,9;0
9;4,16;8352,04;35;Div.Sol.Viu;LIMA_CALLAO;2;1;0
10;4,16;8568,39;57;Cas.Conv;NORTE.SUR;1;0,29;0
11;4,88;4135,4;47;Div.Sol.Viu;LIMA_CALLAO;3;0,07;0
12;4,16;9264,57;52;Div.Sol.Viu;LIMA_CALLAO;5;0,6;0
13;4,16;6536,57;46;Div.Sol.Viu;LIMA_CALLAO;1;1;0
14;4,16;1059,54;48;Div.Sol.Viu;LIMA_CALLAO;1;1;0
15;4,16;2037,56;58;Div.Sol.Viu;LIMA_CALLAO;1;0,33;0
16;4,88;1689,98;27;Div.Sol.Viu;LIMA_CALLAO;2;0,88;0
17;4,88;963,44;36;Cas.Conv;LIMA_CALLAO;2;0,85;0
19;4,16;6807,45;35;Div.Sol.Viu;LIMA_CALLAO;1;1;0
20;4,16;1258,95;31;Div.Sol.Viu;CENTRO;1;1;0
21;4,16;8272,22;40;Div.Sol.Viu;LIMA_CALLAO;1;1;0
22;4,16;1755,16;46;Cas.Conv;LIMA_CALLAO;1;1;0
23;4,16;1000,67;45;Cas.Conv;NORTE.SUR;1;1;0
24;4,16;4617,79;39;Div.Sol.Viu;NORTE.SUR;2;1;0
25;4,16;58348,62;39;Div.Sol.Viu;LIMA_CALLAO;2;1;0
26;4,88;2464,66;24;Div.Sol.Viu;LIMA_CALLAO;3;0,43;0
27;4,16;1930,71;28;Div.Sol.Viu;NORTE.SUR;1;1;0
28;4,16;8478,89;32;Div.Sol.Viu;LIMA_CALLAO;3;0,29;0
29;4,16;22648,13;49;Div.Sol.Viu;LIMA_CALLAO;1;1;0
30;4,16;4585,53;33;Div.Sol.Viu;LIMA_CALLAO;1;1;0
31;4,16;5061,65;35;Div.Sol.Viu;LIMA_CALLAO;1;0,81;0
32;4,16;3373,21;53;Div.Sol.Viu;LIMA_CALLAO;1;0,96;0
34;4,16;3846,32;30;Div.Sol.Viu;LIMA_CALLAO;1;1;0
35;4,16;30521,19;40;Div.Sol.Viu;NORTE.SUR;2;0,76;0
36;4,88;15890,61;45;Div.Sol.Viu;LIMA_CALLAO;2;0,45;0
37;4,16;1079,32;53;Cas.Conv;LIMA_CALLAO;1;0,45;0
38;4,16;562,16;22;Div.Sol.Viu;LIMA_CALLAO;1;1;0
39;4,16;8309,18;36;Div.Sol.Viu;LIMA_CALLAO;2;1;0
40;4,88;1228,39;41;Cas.Conv;LIMA_CALLAO;1;1;0
41;4,16;6025,61;36;Div.Sol.Viu;NORTE.SUR;1;0,65;0
42;4,16;22571,37;42;Div.Sol.Viu;LIMA_CALLAO;1;0,49;0
43;4,16;5107,07;37;Div.Sol.Viu;NORTE.SUR;1;1;0
44;4,88;3163,37;29;Div.Sol.Viu;LIMA_CALLAO;1;1;0
45;4,16;593,14;42;Div.Sol.Viu;LIMA_CALLAO;2;1;0
46;4,16;9837,02;36;Div.Sol.Viu;LIMA_CALLAO;2;1;0
47;4,16;9562,82;43;Div.Sol.Viu;LIMA_CALLAO;1;0,96;0
48;4,16;10521,85;58;Cas.Conv;LIMA_CALLAO;2;0,96;0
49;4,16;4022,15;34;Div.Sol.Viu;LIMA_CALLAO;1;0,4;0
51;4,16;5852,54;31;Div.Sol.Viu;LIMA_CALLAO;2;0,83;0
52;4,88;1492,15;27;Div.Sol.Viu;LIMA_CALLAO;3;0,27;0
53;4,16;18898,73;53;Cas.Conv;LIMA_CALLAO;2;0,6;0
54;4,16;18203,04;44;Div.Sol.Viu;NORTE.SUR;2;1;0
55;4,16;2359,92;65;Div.Sol.Viu;NORTE.SUR;1;0,41;0
56;4,16;6147,73;60;Div.Sol.Viu;LIMA_CALLAO;1;1;0
57;4,16;4843,67;30;Div.Sol.Viu;LIMA_CALLAO;2;0,93;0
58;4,16;2636,68;59;Div.Sol.Viu;LIMA_CALLAO;1;1;0
60;4,16;4916,05;40;Div.Sol.Viu;NORTE.SUR;3;0,85;0
61;4,16;28759,89;64;Div.Sol.Viu;LIMA_CALLAO;1;1;0
62;4,16;1858,73;28;Div.Sol.Viu;NORTE.SUR;1;1;0
63;4,16;5795,17;34;Div.Sol.Viu;LIMA_CALLAO;1;1;0
64;4,16;5717,23;43;Cas.Conv;LIMA_CALLAO;1;1;0
65;4,16;4194,29;47;Div.Sol.Viu;NORTE.SUR;3;0,95;0
66;4,88;1328,03;55;Cas.Conv;LIMA_CALLAO;2;0,04;0
67;4,16;6735,5;34;Div.Sol.Viu;LIMA_CALLAO;1;0,89;0
68;4,16;1531,55;63;Cas.Conv;LIMA_CALLAO;3;0,77;0
69;4,16;2492,76;58;Cas.Conv;NORTE.SUR;2;0,88;0
70;4,16;3301,88;63;Div.Sol.Viu;NORTE.SUR;2;1;0
71;4,16;4184,16;38;Div.Sol.Viu;LIMA_CALLAO;2;0,34;0
72;4,88;1417,19;41;Div.Sol.Viu;LIMA_CALLAO;1;1;0
73;4,88;3213,21;50;Cas.Conv;LIMA_CALLAO;1;1;0
74;4,16;2415,47;43;Cas.Conv;LIMA_CALLAO;2;0,48;0
75;4,16;1420,56;45;Div.Sol.Viu;LIMA_CALLAO;1;1;0
76;4,88;3001,8;26;Div.Sol.Viu;LIMA_CALLAO;2;0,67;0
77;4,16;5861,55;35;Div.Sol.Viu;NORTE.SUR;2;0,69;0
78;4,88;1201,5;33;Cas.Conv;LIMA_CALLAO;1;1;0
79;4,16;9162;57;Div.Sol.Viu;LIMA_CALLAO;1;1;0
80;4,16;10808,92;45;Div.Sol.Viu;LIMA_CALLAO;1;1;0
81;4,16;9783,39;43;Div.Sol.Viu;LIMA_CALLAO;2;1;0
82;4,16;9119,19;25;Div.Sol.Viu;LIMA_CALLAO;1;1;0
83;4,16;3359,32;40;Div.Sol.Viu;LIMA_CALLAO;2;0,48;0
84;4,88;676,56;31;Cas.Conv;CENTRO;2;0,77;0
85;4,16;2771,21;45;Div.Sol.Viu;LIMA_CALLAO;1;1;0
86;4,16;3808,69;50;Div.Sol.Viu;LIMA_CALLAO;1;1;0
87;4,88;1036,07;24;Div.Sol.Viu;NORTE.SUR;1;1;0
89;4,88;758,69;52;Cas.Conv;NORTE.SUR;1;0,2;0
90;4,16;25692,84;44;Div.Sol.Viu;LIMA_CALLAO;1;1;0
91;4,88;551,31;24;Div.Sol.Viu;LIMA_CALLAO;2;0,88;0
92;4,16;8871,02;45;Cas.Conv;NORTE.SUR;5;0,92;0
93;4,16;3016,87;30;Div.Sol.Viu;LIMA_CALLAO;1;1;0
94;4,88;2650,3;42;Div.Sol.Viu;NORTE.SUR;2;0,24;0
95;4,88;1544,65;51;Cas.Conv;LIMA_CALLAO;4;0,77;0
