iter	Passed	Remaining
0	202	50305
1	333	41337
2	384	31692
3	514	31627
4	525	25762
5	548	22296
6	579	20118
7	591	17887
8	608	16296
9	632	15179
10	719	15640
11	752	14926
12	769	14034
13	793	13374
14	965	15130
15	985	14408
16	1007	13814
17	1073	13830
18	1138	13835
19	1178	13555
20	1353	14754
21	1386	14373
22	1405	13869
23	1415	13332
24	1549	13948
25	1711	14747
26	1861	15374
27	1885	14948
28	1898	14470
29	1918	14071
30	2066	14601
31	2100	14312
32	2113	13895
33	2121	13474
34	2151	13216
35	2171	12910
36	2202	12681
37	2354	13137
38	2410	13040
39	2422	12720
40	2561	13058
41	2594	12851
42	2612	12578
43	2749	12873
44	2889	13164
45	2905	12884
46	2925	12636
47	2940	12376
48	3047	12499
49	3059	12238
50	3076	12004
51	3210	12224
52	3299	12264
53	3400	12343
54	3420	12127
55	3559	12331
56	3577	12113
57	3600	11918
58	3618	11714
59	3636	11515
60	3648	11302
61	3775	11448
62	3793	11260
63	3879	11276
64	4015	11428
65	4067	11338
66	4087	11163
67	4218	11289
68	4309	11305
69	4416	11356
70	4448	11214
71	4544	11234
72	4670	11323
73	4703	11186
74	4721	11017
75	4739	10851
76	4754	10681
77	4874	10749
78	5005	10834
79	5139	10921
80	5176	10799
81	5273	10804
82	5371	10807
83	5561	10991
84	5593	10857
85	5639	10754
86	5801	10870
87	5846	10761
88	6026	10901
89	6169	10967
90	6224	10875
91	6368	10937
92	6403	10810
93	6566	10897
94	6695	10924
95	6719	10779
96	6752	10650
97	6889	10685
98	6920	10556
99	7062	10593
100	7195	10614
101	7227	10487
102	7237	10329
103	7364	10338
104	7518	10382
105	7666	10414
106	7798	10422
107	7926	10421
108	8063	10430
109	8198	10434
110	8287	10378
111	8421	10377
112	8598	10424
113	8767	10459
114	8929	10482
115	8964	10355
116	9119	10366
117	9254	10352
118	9386	10333
119	9531	10325
120	9675	10315
121	9807	10289
122	9941	10264
123	10069	10231
124	10203	10203
125	10340	10176
126	10479	10149
127	10637	10138
128	10767	10100
129	10893	10055
130	10916	9916
131	11044	9873
132	11184	9838
133	11331	9809
134	11473	9773
135	11629	9748
136	11760	9700
137	11897	9655
138	12041	9616
139	12142	9540
140	12277	9490
141	12414	9441
142	12559	9397
143	12624	9293
144	12767	9245
145	12910	9196
146	13040	9137
147	13207	9102
148	13357	9054
149	13525	9016
150	13714	8991
151	13868	8941
152	13994	8872
153	14123	8804
154	14264	8742
155	14390	8671
156	14516	8598
157	14681	8548
158	14705	8416
159	14835	8344
160	14964	8272
161	15052	8176
162	15183	8104
163	15319	8033
164	15450	7959
165	15484	7835
166	15635	7771
167	15784	7704
168	15910	7625
169	16040	7548
170	16159	7465
171	16306	7394
172	16436	7315
173	16560	7233
174	16708	7160
175	16863	7090
176	17010	7015
177	17061	6901
178	17200	6822
179	17338	6742
180	17482	6664
181	17624	6584
182	17777	6508
183	17910	6424
184	18037	6337
185	18190	6259
186	18330	6175
187	18458	6087
188	18581	5997
189	18723	5912
190	18869	5828
191	18997	5738
192	19119	5646
193	19255	5558
194	19393	5470
195	19525	5379
196	19658	5288
197	19814	5203
198	19942	5110
199	20072	5018
200	20194	4923
201	20331	4831
202	20459	4736
203	20491	4620
204	20614	4525
205	20636	4407
206	20786	4318
207	20928	4226
208	21066	4132
209	21201	4038
210	21333	3943
211	21462	3846
212	21616	3754
213	21720	3653
214	21888	3563
215	22016	3465
216	22141	3367
217	22227	3262
218	22365	3165
219	22494	3067
220	22617	2967
221	22742	2868
222	22910	2773
223	23040	2674
224	23167	2574
225	23289	2473
226	23422	2373
227	23547	2272
228	23677	2171
229	23842	2073
230	23887	1964
231	24045	1865
232	24196	1765
233	24362	1665
234	24521	1565
235	24659	1462
236	24801	1360
237	24960	1258
238	25095	1155
239	25225	1051
240	25359	947
241	25504	843
242	25670	739
243	25711	632
244	25815	526
245	25971	422
246	26102	317
247	26232	211
248	26355	105
249	26486	0
